No entries exist for	Heç bir giriş yoxdur
No entries exist starting with this letter.	Bu hərfdən başlayan heç bir giriş yoxdur.
Because of the brevity of your search term, partial search was omitted.	Axtarış terminizin qısa olduğuna görə qismən axtarış edilməmişdir.
Click here to include searching through partial words.	Qısmən sözlər vasitəsilə axtarış daxil etmək üçün buraya basın.
All Parts of Speech	Bütün nitq hissələri
All Languages	Hammı dillərində
Search	Axtarış
Number of entries	Girişlərinin sayı
Last update:	Son yeniləmə:
Date published:	Nəşr tarixi:
Publication Status	Yayın vəziyyəti
Rough draft	İlk qaralama
Self-reviewed draft	Öz nəzərdən keçirən qaralaması
Community-reviewed draft	İcma nəzərdən keçirilmiş qaralaması
Consultant approved	Məsləhətçi tərəfindən təsdiqlənmiş
Finished (no formal publication)	Tamamlandı (rəsmi yayım yoxdur)
Formally published 	Rəsmi olaraq nəşr olunmuş
