No entries exist for	Aso pongoretan siti do
No entries exist starting with this letter.	Aso pongoretan siti do tumimpuun diti hurupAso pongoretan siti do tumimpuun diti hurup
Because of the brevity of your search term, partial search was omitted.	Sabab tu onibak banal i boros di nehim nu, amu ehim i sambahagi o pongoretan
Click here to include searching through partial words.	Todsokon siti supaya sambahagi o pongoretan nga ehim-i
All Parts of Speech	Sokoviai Gingis do Pongoretan
All Languages	Kavi i boros
Search	Mogihim
Number of entries	Pongizapan di sokoviai it ongopongoretan
Last update:	Natagan dit addau dot
Date published:	Addau kensan pinematan sitid webonary
Publication Status	Kobuatano di kamus diti
Rough draft	Draf koosurat ogi, a-po natagan
Self-reviewed draft	Natagan kondiri
Community-reviewed draft	Natagan dot umpug
Consultant approved	Nokunan do konsultan
Finished (no formal publication)	Nopongo (Amu po narasmi i pinongobuukan)
Formally published	Pinongobuukan do Rasmi
