No entries exist for	Il n'y a pas d'entrée pour
No entries exist starting with this letter.	Il n'y a pas d'entrée qui commence par cette lettre.
Because of the brevity of your search term, partial search was omitted.	Parce que votre terme de recherche est court, on a omis la recherche de mots partiels.
Click here to include searching through partial words.	Cliquer ici pour inclure la recherche de mots partiels.
All Parts of Speech	Toutes Parties du Discours
All Languages	Toutes Langues
Search	Rechercher
Number of entries	Nombre d'entrées
Last update:	Dernière mise à jour:
Date published:	Date publiée:
Match whole words 	Chercher mots entiers
Match accents and tones 	Recherche incl. diacritiques
Publication Status	Statut de la publication
Rough draft	Ébauche
Self-reviewed draft	Ébauche auto-révisée
Community-reviewed draft	Ébauche revue par la communauté
Consultant approved	Approuvé par un conseiller
Finished (no formal publication)	Version finale (mais non publiée)
Formally published 	Version finale
