No entries exist for	Tiada entri wujud untuk
No entries exist starting with this letter.	Tiada entri wujud bermula dengan huruf ini
Because of the brevity of your search term, partial search was omitted.	Disebabkan pencarian kata yang ringkas, carian separa tidak dapat dilakukan.
Click here to include searching through partial words.	Klik sini untuk merangkumi carian kata separa
All Parts of Speech	Semua Golongan Kata
All Languages	Semua Bahasa
Search	Cari
Number of entries	Jumlah entri
Last update:	Kemas kini terakhir
Date published:	Tarik diterbitkan
Publication Status	Status Penerbitan
Rough draft	Draf kasar
Self-reviewed draft	Draf disemak sendiri
Community-reviewed draft	Draf disemak komuniti 
Consultant approved	Disahkan konsultan
Finished (no formal publication)	Siap (penerbitan belum dirasmikan)
Formally published 	Penerbitan secara rasmi
