Publication Status	Estado editorial
Rough draft	Borrador
Self-reviewed draft	Versión preliminar
Community-reviewed draft	Revisado por hablantes nativos
Consultant approved	Revisado por un asesor técnico
Finished (no formal publication)	Contenido y diseño aprobados para publicación
Formally published	Edición oficial actual
Search	Buscar
Match whole words	Solo palabras completas
Match accents and tones	Palabras con sus acentos y tonos
Southeastern Tepehuan	Tepehuán del sureste
Spanish	Español
Last update:	Última actualización:
SIL Mexico	SIL en México
Date published:	Privado, público:
All Languages	Todos los idiomas
All Parts of Speech	Clasificación gramatical
Number of Entries	Número de entradas
Because of the brevity of your search term, partial search was omitted.	Debido a la brevedad de su término de búsqueda, se omitió búsqueda parcial
Click here to include searching through partial words.	Haga clic aquí para incluir búsqueda de palabras parciales
No entries exist for	No hay entradas para
No entries exist starting with this letter.	No hay entradas que empiecen con esta letra.
