Publication Status	प्रकाशन की स्थिति
Rough draft	कच्चा मसौदा
Self-reviewed draft	स्व-समीक्षित मसौदा
Community-reviewed draft	समुदाय समीक्षा मसौदा
Consultant approved	Rसलाहकार द्वारा अनुमोदित
Finished (no formal publication)	समाप्त (अनौपचारिक प्रकाशन)
Formally published	औपचारिक रूप से प्रकाशित
Search	खोज
Match whole words
Match accents and tones
Last update:	आखिरी अपडेट
Date published:	प्रकाशन तिथि
All Languages	सभी भाषाएं
All Parts of Speech भाषण के सभी भाग
Number of Entries	प्रविष्टियों की संख्या
Because of the brevity of your search term, partial search was omitted.	आपके खोज शब्द की संक्षिप्तता के कारण आंशिक खोज छोड़ दी गई थी
Click here to include searching through partial words.	शब्दांश खोज शामिल करने के लिए यहां क्लिक करें
No entries exist for	कोई प्रविष्टि शब्द मौजूद नहीं है
No entries exist starting with this letter.	इस अक्षर से शुरू होने वाला कोई प्रविष्टि शब्द मौजूद नहीं है
