No entries exist for	ᦢᧁᧈ ᦙᦲ ᦅᧄ ᦞᦱᧈ
No entries exist starting with this letter.	ᦀᦃᦟᦰ ᦓᦲᦰ ᦢᧁᧈ ᦙᦲ ᦅᧄ
Because of the brevity of your search term, partial search was omitted.	ᦵᦗᦲᧈ ᦷᦎ ᦌᦸᦰ ᦠᦱ ᦶᦉᧃᧉ, ᦺᦡᧉ ᦵᦔᧃᧈ ᦞᦲᦌᦱ ᦌᦸᦰ ᦠᦱ
Click here to include searching through partial words.	ᦅᧃ ᦞᦱᧈ ᦺᦆᧈ ᦌᦸᦰ ᦠᦱ ᦦᦱᧂᧉ ᦅᦸᧉ ᦵᦎᧅ ᦑᦲᧈ ᦐᦲᧉ
All Parts of Speech	ᦋᦴᧈ ᦵᦗᧆ ᦅᧄ
All Languages	ᦷᦎ ᦺᦑ ᧞ ᦷᦎ ᦁᧂ ᦂᦲᧆ
Search	ᦌᦸᦰ ᦠᦱ
Number of entries	ᦈᦹᧈ ᦶᦑᧃ ᦙᦲ ᦂᦲᧈ ᦅᧄ
Last update:	ᦔᦲ ᦺᦡ ᦶᦔᧂ ᦺᦖᧈ
Date published:	ᦔᦲ ᦺᦡ ᦷᦂᧆ ᦘᦻᧈ
Advanced Search	ᦌᦸᦰ ᦠᦱ ᦅᧄ ᦍᦱᧅ
Hide Advanced Search	ᦊᦱᧈ ᦌᦸᦰ ᦠᦱ ᦅᧄ ᦍᦱᧅ
Match whole words 	ᦊᦱᧈ ᦺᦡᧉ ᦌᦸᦰ ᦆᦹᧂᧈ ᦅᧄ
Match accents and tones 	ᦌᦸᦰ ᦋᦴᧈ ᦵᦗᧆ ᦅᧄ
English	ᦁᧂ ᦂᦲᧆ
Lue	ᦺᦑ ᦟᦹᧉ
Thai	ᦺᦒ
Chinese	ᦠᦸᧉ
