No entries exist for	Walang mga entry na umiiral para sa 
No entries exist starting with this letter.	Walang mga entry na umiiral ang nagsisimula sa letrang ito.
Because of the brevity of your search term, partial search was omitted.	Dahil sa ikli ng salitang hinanap, ang parsyal na paghahanap ay tinanggal.
Click here to include searching through partial words.	I-click dito upang isali sa paghahanap sa pamamagitan ng parsyal na mga salita.
All Parts of Speech	Lahat ng Bahagi ng Pananalita
All Languages	Lahat ng Wika
Search	Hanapin
Number of entries	Bilang ng mga entry
Last update:	Huling update:
Date published:	Petsa ng pagkalathala:
Advanced Search	Advanced na Paghahanap
Hide Advanced Search	Itago ang Advanced na Paghahanap
Match whole words 	Itugma ang buong mga salita
Match accents and tones 	Itugma ang mga punto at tono
Publication Status	Estado ng Paglalathala
Rough draft	Draft na hindi pa sinuri
Self-reviewed draft	Draft na sinuri ng sarili
Community-reviewed draft	Draft na sinuri ng komunidad
Consultant approved	Aprobado ng tagasangguni
Finished (no formal publication)	Tapos (walang pormal na paglalathala)
Formally published 	Pormal na inilathala
